#Acquired:	08/23/2026 10:00:00
#Title:	Alpha Cellulose reference
#Acq. time (s):	15
#Accumulations:	3
#Range (cm-1):	267 - 2004
#Grating:	1800
#Objective:	x50
#Laser:	785nm
#Spectro:	iHR320
896.93	0.03120514
898.84	0.031073681
900.74	0.030176203
902.63	0.028585336
904.53	0.026495224
906.43	0.024021327
908.32	0.021607653
910.22	0.019398984
912.11	0.017236252
914.01	0.015178305
915.9	0.013255263
917.79	0.01147211
919.68	0.009750393
921.57	0.008086755
923.46	0.006580549
925.34	0.005244043
927.23	0.004053042
929.11	0.003015124
931	0.002178503
932.88	0.001537725
934.76	0.001060757
936.64	0.000741292
938.52	0.000475926
940.4	0.000241953
942.28	9.50969E-05
944.16	4.38328E-05
946.03	3.62575E-05
947.91	7.28089E-05
949.78	0.000363308
951.65	0.000942368
953.53	0.001613476
955.4	0.002344856
957.27	0.003390897
959.14	0.004734352
961.01	0.005997679
962.87	0.007099131
964.74	0.008165772
966.6	0.009146691
968.47	0.009684797
970.33	0.009760964
972.19	0.009485319
974.05	0.008885766
975.91	0.00822568
977.77	0.007624044
979.63	0.007186494
981.49	0.006961257
983.35	0.007348306
985.2	0.008408402
987.06	0.009447151
988.91	0.010338267
990.76	0.011447647
992.61	0.012718395
994.46	0.013426881
996.31	0.013504191
998.16	0.013412852
1000.01	0.013182193
1001.85	0.01277677
1003.7	0.012288399
1005.54	0.012020978
1007.39	0.012056338
1009.23	0.012356196
1011.07	0.01294464
1012.91	0.013895704
1014.75	0.015213448
1016.59	0.016559753
1018.43	0.017867813
1020.26	0.019397501
1022.1	0.021138737
1023.93	0.022822927
1025.77	0.024400764
1027.6	0.02620079
1029.43	0.028215049
1031.26	0.029994338
1033.09	0.031506099
1034.92	0.032810828
1036.75	0.033883334
1038.57	0.03483916
1040.4	0.035745751
1042.22	0.03661615
1044.05	0.0374739
1045.87	0.038749259
1047.69	0.040477872
1049.51	0.042298334
1051.33	0.044207213
1053.15	0.045836357
1054.97	0.047068541
1056.78	0.048415377
1058.6	0.049955301
1060.41	0.051107289
1062.23	0.051886358
1064.04	0.053150933
1065.85	0.055044983
1067.66	0.057074957
1069.47	0.059351525
1071.28	0.062357536
1073.09	0.066197599
1074.9	0.070895095
1076.7	0.076522471
1078.51	0.083454892
1080.31	0.091659457
1082.11	0.100988367
1083.92	0.111173149
1085.72	0.12205277
1087.52	0.133210337
1089.31	0.143196932
1091.11	0.151507942
1092.91	0.157109077
1094.7	0.159724567
1096.5	0.159095785
1098.29	0.155380273
1100.09	0.150194964
1101.88	0.144135734
1103.67	0.138786916
1105.46	0.134806126
1107.25	0.132749178
1109.04	0.132826257
1110.82	0.134649512
1112.61	0.137961677
1114.39	0.141273345
1116.18	0.144024913
1117.96	0.145370905
1119.74	0.144822774
1121.52	0.142282627
1123.3	0.137703427
1125.08	0.130945297
1126.86	0.122219208
1128.64	0.112847495
1130.41	0.103282295
1132.19	0.094231211
1133.96	0.086150815
1135.74	0.079266017
1137.51	0.073721513
1139.28	0.069642448
1141.05	0.066998506
1142.82	0.064879477
1144.59	0.06300018
1146.35	0.061488806
1148.12	0.060143291
1149.88	0.058131908
1151.65	0.055279965
1153.41	0.05204183
1155.17	0.048422622
1156.93	0.044216942
1158.69	0.039526963
1160.45	0.034836843
1162.21	0.030265531
1163.97	0.026084371
1165.73	0.022442944
1167.48	0.019114774
1169.23	0.016103127
1170.99	0.013642817
1172.74	0.011719286
1174.49	0.010005664
1176.24	0.008455192
1177.99	0.007053226
1179.74	0.00574752
1181.49	0.00454524
1183.23	0.003442904
1184.98	0.002473039
1186.72	0.001654033
1188.46	0.001010385
1190.21	0.000531914
1191.95	0.000400111
1193.69	0.00061251
1195.43	0.000875413
1197.17	0.001137827
1198.9	0.001314143
1200.64	0.001352361
1202.38	0.001210253
1204.11	0.00088867
1205.84	0.000515237
1207.58	0.000104449
1209.31	-8.93869E-05
1211.04	-9.21173E-06
1212.77	2.76402E-05
1214.49	3.54193E-05
1216.22	-5.22522E-06
1217.95	-0.000117503
1219.67	3.99655E-05
1221.4	0.000497916
1223.12	0.00121948
1224.84	0.002219429
1226.57	0.003249407
1228.29	0.004258796
1230.01	0.005195531
1231.72	0.006008444
1233.44	0.006822105
1235.16	0.007647384
1236.87	0.008409168
1238.59	0.009124472
1240.3	0.009845438
1242.01	0.01056986
1243.73	0.011421018
1245.44	0.012427879
1247.15	0.013376964
1248.85	0.014247507
1250.56	0.0152121
1252.27	0.016248004
1253.97	0.017313918
1255.68	0.018415775
1257.38	0.019317358
1259.08	0.019953676
1260.79	0.02061626
1262.49	0.021322918
1264.19	0.021670276
1265.88	0.021644319
1267.58	0.021574128
1269.28	0.021470581
1270.97	0.021337157
1272.67	0.021231521
1274.36	0.021030732
1276.05	0.020743522
1277.75	0.020522023
1279.44	0.020405441
1281.13	0.020360511
1282.82	0.020406874
1284.5	0.020781753
1286.19	0.02149462
1287.88	0.022409024
1289.56	0.023493941
1291.24	0.024572293
1292.93	0.025580899
1294.61	0.026370738
1296.29	0.02692703
1297.97	0.027239753
1299.65	0.027314189
1301.33	0.027658902
1303	0.028368573
1304.68	0.029247722
1306.35	0.030308714
1308.03	0.031677019
1309.7	0.033328819
1311.37	0.034864916
1313.04	0.036218265
1314.71	0.037507077
